,Tempo (minutos),Razão Sólido-Líquido,Concentração de Etanol (%),Atividade Antioxidante ABTS (µg/g),Compostos Fenólicos (mg/g),Flavonoides (mg/g)
0,-1.0,-1.0,-1.0,62.158665042741674,0.4503508771929821,0.018618762475049906
1,-1.0,-1.0,1.0,110.178652282733,0.8200000000000001,0.020558882235528944
2,-1.0,1.0,-1.0,52.58787721331303,0.3810087719298252,0.006379241516966069
3,-1.0,1.0,1.0,71.94738352483294,0.5212719298245609,0.016283433133732535
4,1.0,-1.0,-1.0,16.82908928893954,0.12192982456141002,0.019457085828343317
5,1.0,-1.0,1.0,118.69956215018307,0.8600000000000001,0.0240558882235529
6,1.0,1.0,-1.0,15.182502135488532,0.11000000000000001,0.007427145708582834
7,1.0,1.0,1.0,28.984776804114468,0.21000000000000002,0.02312175648702595
8,-1.68,0.0,0.0,12.422047201763347,0.09000000000000002,0.008338522954091815
9,1.68,0.0,0.0,70.39160080999228,0.51,0.007284630738522952
10,0.0,-1.68,0.0,5.520909867450375,0.04000000000000001,0.054650698602794395
11,0.0,1.68,0.0,14.906456642116014,0.10800000000000001,0.00543872255489022
12,0.0,0.0,-1.68,14.9402974153122,0.101,0.016396007984031933
13,0.0,0.0,1.68,80.05319307803043,0.5800000000000001,0.020122954091816372
14,0.0,0.0,0.0,20.703412002938908,0.15000000000000002,0.007198403193612777
15,0.0,0.0,0.0,38.64636907215263,0.28,0.00884630738522954
16,0.0,0.0,0.0,13.802274668625937,0.1,0.015140918163672655
